epoch,w_net_1_0,w_net_1_1,w_net_1_2,w_net_1_3,w_net_1_4,w_net_1_5,w_net_1_6,w_net_1_7,w_net_1_8,w_net_1_9,w_net_2_0,w_net_2_1,w_net_2_2,w_net_2_3,w_net_2_4,w_net_2_5,w_net_2_6,w_net_2_7,w_net_2_8,w_net_2_9
32,0.4679042501221299,0.46648016784893587,0.47380088673921794,0.4881218274111675,0.4759647935003385,0.49479600333055784,0.4507345739471108,0.4665198678810929,0.4489653104068779,0.45946495778659335,0.46675778580494,0.4673257538309442,0.48185206984500684,0.49130904448590795,0.46892770105605197,0.49290599163009097,0.453426017874876,0.4663967611336033,0.44965904532691536,0.4561765312435554
32,0.09966,0.09913,0.10238,0.10428,0.10041,0.10544,0.0957,0.09936,0.09582,0.09782,0.09924,0.09895,0.10264,0.10481,0.10048,0.1057,0.09597,0.0993,0.09562,0.09728
33,0.4651162790697675,0.4671421293937851,0.4752867147061809,0.4942068674952601,0.4675166970248936,0.5035795026375283,0.4468599033816425,0.46685303514376997,0.4503786369071344,0.4635167464114833,0.46480259919267497,0.4675504550850812,0.47431277669103267,0.489858635525507,0.4726259207644834,0.49443118536197295,0.45292694726657,0.46464747768528736,0.4496805111821086,0.4577063847092314
33,0.09948,0.09911,0.10216,0.1043,0.10037,0.1058,0.09564,0.09945,0.09562,0.09806,0.09926,0.0992,0.10237,0.10446,0.10054,0.10554,0.09612,0.09939,0.09573,0.09738
34,0.4669437846397466,0.4669458570146575,0.4794268167860798,0.49551665243381715,0.4706181892249721,0.5029277813923227,0.45558240695988395,0.4660174880763116,0.4490203918432627,0.45841035120147877,0.4678972712680578,0.46453043127771065,0.4839152608866223,0.4930924548352815,0.46875326030255604,0.5005843396961434,0.45787332945961656,0.472604746557281,0.45342465753424666,0.45985401459854014
34,0.0996,0.09909,0.10184,0.10446,0.10028,0.10602,0.09603,0.09941,0.09556,0.09771,0.0992,0.09914,0.1021,0.10445,0.10031,0.10557,0.09642,0.09961,0.09588,0.09732
35,0.46392559960841906,0.46451806625963377,0.4755810381898228,0.49394800547310813,0.4693424768051634,0.502410800385728,0.45054517133956384,0.46801547158583745,0.4483448344834484,0.457414525591746,0.46654807787330765,0.4649255997570604,0.477768629065459,0.4900258397932816,0.469482151835093,0.4950631911532385,0.45468569224836086,0.4650769995032291,0.4493814943097476,0.460984393757503
35,0.09934,0.09921,0.10152,0.10467,0.10037,0.10637,0.09563,0.0995,0.09564,0.09775,0.09935,0.09919,0.10202,0.10452,0.09987,0.10541,0.09662,0.09949,0.09598,0.09757
36,0.4707472485035722,0.4647236180904524,0.4801583274129706,0.48849157418824496,0.46988196988196995,0.49444166249374066,0.4482622041786316,0.46908588896558534,0.44945598417408494,0.45997586484312136,0.46838659239714653,0.46395674809771725,0.485001485001485,0.4871794871794872,0.46878570686610577,0.49011118764144446,0.45009305514741893,0.4728546409807356,0.4476861167002011,0.4571805006587616
36,0.09937,0.09917,0.10148,0.10472,0.10017,0.10633,0.09585,0.09945,0.09561,0.09785,0.09937,0.09911,0.10229,0.10436,0.09998,0.10528,0.09659,0.09968,0.09577,0.09757
37,0.469771955361475,0.46714385127746283,0.47599756937411386,0.48976638412238993,0.46690843155031736,0.49362333168561545,0.4470518635377637,0.4644677661169415,0.449153391443743,0.45997176850171395,0.4704633204633204,0.4656442336797497,0.4778834229020257,0.48881204231082187,0.46755609460278946,0.49437643077535587,0.4516001580403002,0.4683519304828676,0.45028548926954126,0.45760307972849756
37,0.09949,0.09923,0.10162,0.10483,0.09982,0.10632,0.09573,0.0994,0.09565,0.0979,0.09954,0.09905,0.10213,0.10426,0.09993,0.10535,0.09652,0.09977,0.09581,0.09763
38,0.466043977427515,0.46449615499850194,0.4754166666666666,0.4995721009841677,0.4720081135902636,0.5018488669763914,0.45055375869842196,0.4721765218232846,0.44746304434678386,0.4580868855802569,0.46682417798779285,0.46910755148741423,0.4762861736334405,0.48998717569300587,0.4654636591478698,0.49018404907975455,0.4466887749974877,0.46566416040100245,0.4500296853354442,0.4602118003025718
38,0.0995,0.09909,0.10159,0.10503,0.09998,0.10622,0.09586,0.0996,0.0955,0.09764,0.09966,0.09915,0.10225,0.1043,0.09966,0.10521,0.09629,0.09985,0.09586,0.09778
39,0.47264350163179103,0.46533066132264533,0.4784110535405872,0.4897177419354839,0.4745521172638437,0.49488752556237214,0.4535679374389051,0.4714944558924541,0.44962316541055136,0.45775950668037,0.4707133191571622,0.46920734701895683,0.47966976264189887,0.4942945504958941,0.4701636677848937,0.49457784663051896,0.4571675800403808,0.46675913999801844,0.4510311846169175,0.45808444902162715
39,0.09976,0.09904,0.10156,0.10479,0.10016,0.10589,0.09579,0.09985,0.09554,0.09763,0.09983,0.0994,0.10211,0.1044,0.09976,0.105,0.0963,0.09965,0.0958,0.09775
40,0.46978707078457704,0.46707655692185635,0.4728299948638932,0.4904881731253147,0.4715692184046615,0.4898591267858927,0.451270567617564,0.4619124797406807,0.4496240601503759,0.45908204127733854,0.4662849244742818,0.4657561759389436,0.47723721220960524,0.5075497915701714,0.4730290456431535,0.49469259064634785,0.45008614573831973,0.47028092656481024,0.4479745830023828,0.45478669116146153
40,0.10005,0.09919,0.10149,0.10469,0.1003,0.1054,0.09586,0.09963,0.09563,0.09774,0.09976,0.09937,0.10203,0.10509,0.09986,0.10492,0.09605,0.09981,0.09568,0.09742
41,0.46583365872705984,0.4749514563106796,0.47761346251912296,0.49952098103084885,0.47066440880565785,0.4906718319910286,0.44997434581836837,0.4655206875874476,0.45044865403788636,0.4630634390651085,0.46452819049493255,0.46588655295517656,0.47765502139942273,0.49140386035228345,0.4708395429706905,0.4921334803086481,0.455464799688837,0.4640024098805101,0.44736318407960207,0.45853559870550165
41,0.09979,0.09957,0.10133,0.10511,0.10028,0.10518,0.09588,0.09942,0.09562,0.09782,0.09961,0.09947,0.10173,0.10528,0.09996,0.10502,0.09629,0.09945,0.09568,0.0975
42,0.46981677917068465,0.4701843860337387,0.48009090010868494,0.4973017849730179,0.4688471957459618,0.5052699505269951,0.4560709808081783,0.47478462878714556,0.44678724892575195,0.4596599690880989,0.4712732172071984,0.4660561417479594,0.47927407712930503,0.4927174365376612,0.4703075829864988,0.49519183106969356,0.4560476510711885,0.4661886266308136,0.4489715189873418,0.45801291910181474
42,0.0996,0.09951,0.10131,0.10523,0.10017,0.10548,0.09608,0.09967,0.09534,0.09762,0.09959,0.09944,0.10174,0.1054,0.10003,0.10501,0.09644,0.09931,0.09558,0.09747
43,0.4659512195121952,0.46476910828025486,0.4742320644963771,0.4980010804970286,0.4716906687709609,0.5002363619173678,0.4465932758107706,0.46427497745265056,0.45005455807955563,0.45597548518896835,0.46384064370523015,0.4644176065475596,0.4808577303436796,0.4927461673011627,0.46736026111791107,0.4962903549227994,0.45207341944255597,0.4651348651348651,0.447961970263983,0.4572122193000201
43,0.09966,0.09959,0.10132,0.10523,0.10022,0.10548,0.09598,0.0994,0.09551,0.0976,0.09944,0.09921,0.10191,0.10548,0.10008,0.10523,0.09664,0.09925,0.09546,0.09731
44,0.4639644092931291,0.4655155304157984,0.47688269735513833,0.4904860494922606,0.4697693746104301,0.4975320829220138,0.45206547155105214,0.46318675738803694,0.44693632358830604,0.4594103392568659,0.46962280449179383,0.4653625088232328,0.4774186971148946,0.49040597859018387,0.46517992904206784,0.4963330029732409,0.44720995584102774,0.46573982125124125,0.45029473473873516,0.45976896032144654
44,0.09938,0.09969,0.10135,0.10536,0.10012,0.10569,0.09601,0.09914,0.09549,0.09776,0.09949,0.09915,0.10192,0.10542,0.09997,0.10542,0.09631,0.09931,0.09553,0.09748
